AsOfDate,MXEA Index,RTY Index,NDX Index,SPX Index,SPMARC5P Index
2020-12-30,2161.48,1979.992,12845.36,3732.04,386.29
2020-12-31,2147.53,1974.855,12888.28,3756.07,387.1
2021-01-01,2147.53,,,,
2021-01-04,2162.36,1945.914,12694.66,3700.65,387.9
2021-01-05,2163.59,1979.108,12802.38,3726.86,387.89
2021-01-06,2178.63,2057.92,12623.35,3748.14,384.97
2021-01-07,2192.83,2096.885,12939.57,3803.79,385.5
2021-01-08,2215.12,2091.659,13105.2,3824.68,382.72
2021-01-11,2187.97,2091.008,12902.49,3799.61,382.12
2021-01-12,2192.66,2127.959,12892.09,3801.19,381.88
2021-01-13,2197.45,2111.966,12973.63,3809.84,383.36
2021-01-14,2209.37,2155.349,12898.69,3795.54,382.44
2021-01-15,2184.94,2123.201,12803.93,3768.25,382.07
2021-01-18,2181.22,,,,
2021-01-19,2192.04,2151.137,12996.54,3798.91,383.19
2021-01-20,2199.23,2160.617,13296.45,3851.85,385.12
2021-01-21,2209.99,2141.421,13404.99,3853.07,384.91
2021-01-22,2199.96,2168.758,13366.4,3841.47,384.8
2021-01-25,2187.21,2163.272,13483.29,3855.36,385.98
2021-01-26,2194.71,2149.856,13490.19,3849.62,385.74
2021-01-27,2170.28,2108.696,13112.65,3750.77,384.02
2021-01-28,2159.65,2106.609,13201.53,3787.38,383.77
2021-01-29,2124.05,2073.641,12925.38,3714.24,382.11
2021-02-01,2139.28,2126.163,13248.9,3773.86,384.1
2021-02-02,2156.27,2151.44,13456.12,3826.31,383.37
2021-02-03,2168.22,2159.703,13402.37,3830.17,383.11
2021-02-04,2165.73,2202.418,13560.89,3871.74,382.42
2021-02-05,2182.17,2233.327,13603.96,3886.83,383.09
2021-02-08,2202.48,2289.756,13695.02,3915.59,384.27
2021-02-09,2211.03,2298.998,13687.08,3911.23,384.41
2021-02-10,2215.36,2282.441,13655.27,3909.88,385.16
2021-02-11,2221.46,2285.317,13734.35,3916.38,384.59
2021-02-12,2227.7,2289.357,13807.7,3934.83,383.85
2021-02-15,2254.64,,,,
2021-02-16,2256.88,2272.891,13773.77,3932.59,380.63
2021-02-17,2233.61,2256.106,13699.71,3931.33,379.64
2021-02-18,2222.06,2218.385,13637.51,3913.97,379.69
2021-02-19,2232.56,2266.689,13580.78,3906.71,378.56
2021-02-22,2233.75,2251.072,13223.74,3876.5,378.7
2021-02-23,2234.31,2231.314,13194.71,3881.37,378.95
2021-02-24,2217.81,2284.381,13302.19,3925.43,378.87
2021-02-25,2233.61,2200.172,12828.31,3829.34,372.11
2021-02-26,2168.87,2201.051,12909.44,3811.15,370.56
2021-03-01,2198.61,2275.321,13282.95,3901.82,372.28
2021-03-02,2199.25,2231.509,13059.95,3870.29,372.64
2021-03-03,2205.37,2207.793,12683.33,3819.72,370.87
2021-03-04,2185.44,2146.924,12464.0,3768.47,368.9
