AsOfDate,NDX Index,SPX Index,SPMARC5P Index
2023-06-30,15179.21,4450.38,359.31
2023-07-03,15208.69,4455.59,358.99
2023-07-05,15203.78,4446.82,358.05
2023-07-06,15089.45,4411.59,356.04
2023-07-07,15036.85,4398.95,356.62
2023-07-10,15045.64,4409.53,357.24
2023-07-11,15119.06,4439.26,358.15
2023-07-12,15307.23,4472.16,360.91
2023-07-13,15571.98,4510.04,362.58
2023-07-14,15565.6,4505.42,361.99
2023-07-17,15713.28,4522.79,362.11
2023-07-18,15841.35,4554.98,363.63
2023-07-19,15826.35,4565.72,364.07
2023-07-20,15466.09,4534.87,362.25
2023-07-21,15425.67,4536.34,362.19
2023-07-24,15448.02,4554.64,362.12
2023-07-25,15561.42,4567.46,361.92
2023-07-26,15499.26,4566.75,362.74
2023-07-27,15464.93,4537.41,360.0
2023-07-28,15750.93,4582.23,361.76
2023-07-31,15757.0,4588.96,362.25
2023-08-01,15718.01,4576.73,360.44
2023-08-02,15370.74,4513.39,359.17
2023-08-03,15353.54,4501.89,358.23
2023-08-04,15274.92,4478.03,358.98
2023-08-07,15407.85,4518.44,359.37
2023-08-08,15273.05,4499.38,358.95
2023-08-09,15101.71,4467.71,358.06
2023-08-10,15128.84,4468.83,357.47
2023-08-11,15028.07,4464.05,356.61
2023-08-14,15205.59,4489.72,356.72
2023-08-15,15037.65,4437.86,355.23
2023-08-16,14876.47,4404.33,354.14
2023-08-17,14715.81,4370.36,352.74
2023-08-18,14694.84,4369.71,353.15
2023-08-21,14936.69,4399.77,353.3
2023-08-22,14908.96,4387.55,353.19
2023-08-23,15148.06,4436.01,355.84
2023-08-24,14816.44,4376.31,354.42
2023-08-25,14941.83,4405.71,354.46
2023-08-28,15052.46,4433.31,355.32
2023-08-29,15376.55,4497.63,357.77
2023-08-30,15462.43,4514.87,358.39
2023-08-31,15501.07,4507.66,358.21
2023-09-01,15490.86,4515.77,357.93
2023-09-05,15508.24,4496.83,356.42
2023-09-06,15371.44,4465.48,355.33
2023-09-07,15258.52,4451.14,355.34
2023-09-08,15280.23,4457.49,355.38
2023-09-11,15461.87,4487.46,355.84
2023-09-12,15289.74,4461.9,355.04
2023-09-13,15348.53,4467.44,355.15
2023-09-14,15473.89,4505.1,355.48
