HedgeDate,Product_Detail,Indicator,Budget
10/2/2023,GIUL21,INDEX,0.0521
10/2/2023,GIUL21,INXFEE,0.0403
10/2/2023,GIUL21,MARPRT,0.0222
10/2/2023,GIUL21,NASIDX,0.0497
10/2/2023,IUL08,INDEX,0.0544
10/2/2023,IUL14,INDEX,0.0544
10/2/2023,IUL14,INX150,0.039
10/2/2023,IUL14,INXFEE,0.0451
10/2/2023,IUL14,INXSPC,0.0531
10/2/2023,IUL14B,INDEX,0.0425
10/2/2023,IUL14B,INX150,0.0264
10/2/2023,IUL14B,INXFEE,0.0318
10/2/2023,IUL14B,INXSPC,0.0425
10/2/2023,IUL14BNY,INDEX,0.045
10/2/2023,IUL14BNY,INX150,0.025
10/2/2023,IUL14BNY,INXFEE,0.0417
10/2/2023,IUL14BNY,INXSPC,0.0404
10/2/2023,IUL14NY,INDEX,0.0486
10/2/2023,IUL14NY,INX150,0.0316
10/2/2023,IUL14NY,INXFEE,0.0463
10/2/2023,IUL14NY,INXSPC,0.046
10/2/2023,IUL19,INDEX,0.0544
10/2/2023,IUL19,INXFEE,0.0451
10/2/2023,IUL19,INXHIM,0.0634
10/2/2023,IUL19,INXLOM,0.0634
10/2/2023,IUL21,INDEX,0.0565
10/2/2023,IUL21,INXFEE,0.0451
10/2/2023,IUL21,INXHIM,0.0634
10/2/2023,IUL21,INXLOM,0.0634
10/2/2023,IUL21,MARPRT,0.0222
10/2/2023,IUL21,NASIDX,0.0541
10/2/2023,IUL23,INDEX,0.0555
10/2/2023,IUL23,INXFEE,0.0451
10/2/2023,IUL23,INXHIM,0.0634
10/2/2023,IUL23,INXLOM,0.0634
10/2/2023,IUL23,MARPRT,0.0222
10/2/2023,IUL23,NASIDX,0.0531
11/1/2023,GIUL21,INDEX,0.0519
11/1/2023,GIUL21,INXFEE,0.0362
11/1/2023,GIUL21,MARPRT,0.0223
11/1/2023,GIUL21,NASIDX,0.0495
11/1/2023,IUL08,INDEX,0.0541
11/1/2023,IUL14,INDEX,0.0541
11/1/2023,IUL14,INX150,0.0388
11/1/2023,IUL14,INXFEE,0.0409
11/1/2023,IUL14,INXSPC,0.0541
11/1/2023,IUL14B,INDEX,0.0425
11/1/2023,IUL14B,INX150,0.0263
11/1/2023,IUL14B,INXFEE,0.0362
11/1/2023,IUL14B,INXSPC,0.0433
11/1/2023,IUL14BNY,INDEX,0.0449
11/1/2023,IUL14BNY,INX150,0.025
11/1/2023,IUL14BNY,INXFEE,0.0376
11/1/2023,IUL14BNY,INXSPC,0.0411
11/1/2023,IUL14NY,INDEX,0.0485
11/1/2023,IUL14NY,INX150,0.0315
11/1/2023,IUL14NY,INXFEE,0.0421
11/1/2023,IUL14NY,INXSPC,0.0469
11/1/2023,IUL19,INDEX,0.0541
11/1/2023,IUL19,INXFEE,0.0409
11/1/2023,IUL19,INXHIM,0.0626
11/1/2023,IUL19,INXLOM,0.0626
11/1/2023,IUL21,INDEX,0.0561
11/1/2023,IUL21,INXFEE,0.0409
11/1/2023,IUL21,INXHIM,0.0626
11/1/2023,IUL21,INXLOM,0.0626
11/1/2023,IUL21,MARPRT,0.0223
11/1/2023,IUL21,NASIDX,0.0538
11/1/2023,IUL23,INDEX,0.0551
11/1/2023,IUL23,INXFEE,0.0409
11/1/2023,IUL23,INXHIM,0.0626
11/1/2023,IUL23,INXLOM,0.0626
11/1/2023,IUL23,MARPRT,0.0223
11/1/2023,IUL23,NASIDX,0.0528
12/1/2023,GIUL21,INDEX,0.0517
12/1/2023,GIUL21,INXFEE,0.0416
12/1/2023,GIUL21,MARPRT,0.0222
12/1/2023,GIUL21,NASIDX,0.0496
12/1/2023,IUL08,INDEX,0.0539
12/1/2023,IUL14,INDEX,0.0539
12/1/2023,IUL14,INX150,0.0386
12/1/2023,IUL14,INXFEE,0.0463
12/1/2023,IUL14,INXSPC,0.0529
12/1/2023,IUL14B,INDEX,0.0421
12/1/2023,IUL14B,INX150,0.0261
12/1/2023,IUL14B,INXFEE,0.0416
12/1/2023,IUL14B,INXSPC,0.0423
12/1/2023,IUL14BNY,INDEX,0.0446
12/1/2023,IUL14BNY,INX150,0.0247
12/1/2023,IUL14BNY,INXFEE,0.043
12/1/2023,IUL14BNY,INXSPC,0.0402
12/1/2023,IUL14NY,INDEX,0.0482
12/1/2023,IUL14NY,INX150,0.0313
12/1/2023,IUL14NY,INXFEE,0.0476
12/1/2023,IUL14NY,INXSPC,0.0459
12/1/2023,IUL19,INDEX,0.0539
12/1/2023,IUL19,INXFEE,0.0463
12/1/2023,IUL19,INXHIM,0.063
12/1/2023,IUL19,INXLOM,0.063
12/1/2023,IUL21,INDEX,0.0561
12/1/2023,IUL21,INXFEE,0.0463
12/1/2023,IUL21,INXHIM,0.063
12/1/2023,IUL21,INXLOM,0.063
12/1/2023,IUL21,MARPRT,0.0222
12/1/2023,IUL21,NASIDX,0.0541
12/1/2023,IUL23,INDEX,0.055
12/1/2023,IUL23,INXFEE,0.0463
12/1/2023,IUL23,INXHIM,0.063
12/1/2023,IUL23,INXLOM,0.063
12/1/2023,IUL23,MARPRT,0.0222
12/1/2023,IUL23,NASIDX,0.053
1/2/2024,GIUL21,INDEX,0.0512
1/2/2024,GIUL21,INXFEE,0.0372
1/2/2024,GIUL21,MARPRT,0.0222
1/2/2024,GIUL21,NASIDX,0.0495
1/2/2024,IUL08,INDEX,0.0533
1/2/2024,IUL14,INDEX,0.0533
1/2/2024,IUL14,INX150,0.0382
1/2/2024,IUL14,INXFEE,0.0418
1/2/2024,IUL14,INXSPC,0.0537
1/2/2024,IUL14B,INDEX,0.0418
1/2/2024,IUL14B,INX150,0.0259
1/2/2024,IUL14B,INXFEE,0.0372
1/2/2024,IUL14B,INXSPC,0.0429
1/2/2024,IUL14BNY,INDEX,0.0443
1/2/2024,IUL14BNY,INX150,0.0246
1/2/2024,IUL14BNY,INXFEE,0.0386
1/2/2024,IUL14BNY,INXSPC,0.0408
1/2/2024,IUL14NY,INDEX,0.0478
1/2/2024,IUL14NY,INX150,0.031
1/2/2024,IUL14NY,INXFEE,0.043
1/2/2024,IUL14NY,INXSPC,0.0465
1/2/2024,IUL19,INDEX,0.0533
1/2/2024,IUL19,INXFEE,0.0418
1/2/2024,IUL19,INXHIM,0.062
1/2/2024,IUL19,INXLOM,0.062
1/2/2024,IUL21,INDEX,0.0554
1/2/2024,IUL21,INXFEE,0.0418
1/2/2024,IUL21,INXHIM,0.062
1/2/2024,IUL21,INXLOM,0.062
1/2/2024,IUL21,MARPRT,0.0222
1/2/2024,IUL21,NASIDX,0.0539
1/2/2024,IUL23,INDEX,0.0544
1/2/2024,IUL23,INXFEE,0.0418
1/2/2024,IUL23,INXHIM,0.062
1/2/2024,IUL23,INXLOM,0.062
1/2/2024,IUL23,MARPRT,0.0222
1/2/2024,IUL23,NASIDX,0.0528
2/1/2024,GIUL21,INDEX,0.0508
2/1/2024,GIUL21,INXFEE,0.0336
2/1/2024,GIUL21,MARPRT,0.0222
2/1/2024,GIUL21,NASIDX,0.0492
2/1/2024,IUL08,INDEX,0.0529
2/1/2024,IUL14,INDEX,0.0529
2/1/2024,IUL14,INX150,0.0379
2/1/2024,IUL14,INXFEE,0.0381
2/1/2024,IUL14,INXSPC,0.054
2/1/2024,IUL14B,INDEX,0.0418
2/1/2024,IUL14B,INX150,0.0259
2/1/2024,IUL14B,INXFEE,0.0336
2/1/2024,IUL14B,INXSPC,0.0432
2/1/2024,IUL14BNY,INDEX,0.0441
2/1/2024,IUL14BNY,INX150,0.0246
2/1/2024,IUL14BNY,INXFEE,0.0349
2/1/2024,IUL14BNY,INXSPC,0.041
2/1/2024,IUL14NY,INDEX,0.0476
2/1/2024,IUL14NY,INX150,0.0309
2/1/2024,IUL14NY,INXFEE,0.0392
2/1/2024,IUL14NY,INXSPC,0.0468
