CompID,Plan,Indicator,Product_Detail,Product
1,1U144600,INDEX,IUL08,IUL
1,1U144600,INX150,IUL08,IUL
1,1U144600,INXFEE,IUL08,IUL
1,1U144600,INXSPC,IUL08,IUL
1,1U144700,INDEX,IUL08,IUL
1,1U144700,INX150,IUL08,IUL
1,1U144700,INXFEE,IUL08,IUL
1,1U144700,INXSPC,IUL08,IUL
1,1U144800,INDEX,IUL08,IUL
1,1U144800,INX150,IUL08,IUL
1,1U144800,INXFEE,IUL08,IUL
1,1U144800,INXSPC,IUL08,IUL
1,1U145500,INDEX,IUL14,IUL
1,1U145500,INX150,IUL14,IUL
1,1U145500,INXFEE,IUL14,IUL
1,1U145500,INXSPC,IUL14,IUL
1,1U145800,INDEX,IUL14B,IUL14B
1,1U145800,INX150,IUL14B,IUL14B
1,1U145800,INXFEE,IUL14B,IUL14B
1,1U145800,INXSPC,IUL14B,IUL14B
1,1U146400,INDEX,IUL14,IUL
1,1U146400,INX150,IUL14,IUL
1,1U146400,INXFEE,IUL14,IUL
1,1U146400,INXSPC,IUL14,IUL
1,1U146800,INDEX,IUL19,IUL
1,1U146800,INX150,IUL19,IUL
1,1U146800,INXFEE,IUL19,IUL
1,1U146800,INXHIM,IUL19,IUL
1,1U146800,INXLOM,IUL19,IUL
1,1U146800,INXSPC,IUL19,IUL
1,1U146800,MARPRT,IUL19,IUL
1,1U146800,NASIDX,IUL19,IUL
1,1U147400,INDEX,GIUL21,IUL
1,1U147400,INXFEE,GIUL21,IUL
1,1U147400,MARPRT,GIUL21,IUL
1,1U147400,NASIDX,GIUL21,IUL
1,1U147500,INDEX,IUL21,IUL
1,1U147500,INX150,IUL21,IUL
1,1U147500,INXFEE,IUL21,IUL
1,1U147500,INXHIM,IUL21,IUL
1,1U147500,INXLOM,IUL21,IUL
1,1U147500,INXSPC,IUL21,IUL
1,1U147500,MARPRT,IUL21,IUL
1,1U147500,NASIDX,IUL21,IUL
1,1U147800,INDEX,IUL23,IUL
1,1U147800,INX150,IUL23,IUL
1,1U147800,INXFEE,IUL23,IUL
1,1U147800,INXHIM,IUL23,IUL
1,1U147800,INXLOM,IUL23,IUL
1,1U147800,INXSPC,IUL23,IUL
1,1U147800,MARPRT,IUL23,IUL
1,1U147800,NASIDX,IUL23,IUL
1,1U147900,INDEX,GIUL23,IUL
1,1U147900,INXFEE,GIUL23,IUL
1,1U147900,MARPRT,GIUL23,IUL
1,1U147900,NASIDX,GIUL23,IUL
1,1U148000,INDEX,GIUL23,IUL
1,1U148000,INXFEE,GIUL23,IUL
1,1U148000,MARPRT,GIUL23,IUL
1,1U148000,NASIDX,GIUL23,IUL
1,1U148100,INDEX,GIUL23,IUL
1,1U148100,INXFEE,GIUL23,IUL
1,1U148100,MARPRT,GIUL23,IUL
1,1U148100,NASIDX,GIUL23,IUL
26,1U145600,INDEX,IUL14NY,IUL14NY
26,1U145600,INX150,IUL14NY,IUL14NY
26,1U145600,INXFEE,IUL14NY,IUL14NY
26,1U145600,INXSPC,IUL14NY,IUL14NY
26,1U145900,INDEX,IUL14BNY,IUL14BNY
26,1U145900,INX150,IUL14BNY,IUL14BNY
26,1U145900,INXFEE,IUL14BNY,IUL14BNY
26,1U145900,INXSPC,IUL14BNY,IUL14BNY
26,1U146900,INDEX,IUL14NY,IUL14NY
26,1U146900,INX150,IUL14NY,IUL14NY
26,1U146900,INXFEE,IUL14NY,IUL14NY
26,1U146900,INXSPC,IUL14NY,IUL14NY
