PolicyNum,Status
U0600938,R
U0600943,R
U0600960,R
U0600961,R
U0600963,R
U0600972,R
U0600979,R
U0600994,R
U0610479,R
U0610493,R
U0610560,R
U0610577,R
U0610578,R
U0610597,R
U0610608,R
U0610613,R
U0610640,R
U0610645,R
U0610646,R
U0610654,R
U0610657,R
U0610694,R
U0613062,R
U0613504,R
U0613598,R
U0613599,R
U0613610,R
U0613702,R
U0613704,R
U0613712,R
U0613718,R
U0613731,R
U0613740,R
U0613742,R
U0613876,R
U0613877,R
U0613932,R
U0615185,R
U0615190,R
U0615323,R
U0615326,R
U0615487,R
U0615731,R
U0615995,R
U0616246,R
U0616379,R
U0616380,R
U0616579,R
U0616732,R
U0616894,R
U0616953,R
U0616980,R
U0617066,R
U0617076,R
U0617107,R
U0617108,R
U0617275,R
U0617357,R
U0617428,R
U0617710,R
U0617738,R
U0617787,R
U0617821,R
U0617834,R
U0617992,R
U0617993,R
U0617999,R
U0618022,R
U0618036,R
U0618037,R
U0618048,R
U0618049,R
U0618052,R
U0618054,R
U0618068,R
U0618174,R
U0618294,R
U0618363,R
U0618406,R
U0618439,R
U0618442,R
U0618479,R
U0618481,R
U0618515,R
U0618523,R
U0618524,R
U0618659,R
U0618660,R
U0618676,R
U0618703,R
U0618740,R
U0618743,R
U0618755,R
U0618800,R
U0618850,R
U0619178,R
U0619199,R
U0619262,R
U0619452,R
U0619453,R
U0619570,R
U0619574,R
U0619626,R
U0619671,R
U0619672,R
U0619779,R
U0619792,R
U0619990,R
U0620132,R
U0620145,R
U0620292,R
U0620336,R
U0620341,R
U0620343,R
U0620354,R
U0620393,R
U0620639,R
U0620706,R
U0621229,R
U0621230,R
U0621613,R
U0621635,R
U0621994,R
U0622076,R
U0622119,R
U0622328,R
U0622331,R
U0622380,R
U0622492,R
U0622493,R
U0622603,R
U0622634,R
U0622746,R
U0622773,R
U0622916,R
U0622997,R
U0623063,R
U0623210,R
U0623249,R
U0623299,R
U0623356,R
U0623379,R
U0623428,R
U0623592,R
U0623593,R
U0623846,R
U0623925,R
U0623988,R
U0624011,R
U0624095,R
U0624154,R
U0624155,R
U0624156,R
U0624159,R
U0624184,R
U0624185,R
U0624186,R
U0624205,R
U0624240,R
U0624272,R
U0624273,R
U0624289,R
U0624311,R
U0624315,R
U0624347,R
U0624353,R
U0624401,R
U0624402,R
U0624404,R
U0624409,R
U0624423,R
U0624562,R
U0624563,R
U0624564,R
U0624585,R
U0624586,R
U0624590,R
U0624619,R
U0624629,R
U0624637,R
U0624638,R
U0624695,R
U0624744,R
U0624745,R
U0624747,R
U0624774,R
U0624934,R
U0624944,R
U0624949,R
U0624970,R
U0625053,R
U0625056,R
U0625067,R
U0625152,R
U0625214,R
U0625237,R
U0625485,R
U0625532,R
U0625582,R
U0625584,R
U0625694,R
U0625743,R
U0625861,R
U0626107,R
U0626120,R
U0626142,R
U0626176,R
U0626188,R
U0626264,R
U0626281,R
U0626286,R
U0626304,R
U0626372,R
U0626388,R
U0626430,R
U0626461,R
U0626506,R
U0626544,R
U0626590,R
U0626704,R
U0626705,R
U0626735,R
U0626818,R
U0626827,R
U0626891,R
U0626978,R
U0627000,R
U0627043,R
U0627136,R
U0627371,R
U0627455,R
U0627574,R
U0627586,R
U0627598,R
U0627605,R
U0627620,R
U0627622,R
U0627623,R
U0627628,R
U0627668,R
U0627690,R
U0627716,R
U0627852,R
U0627900,R
U0627901,R
U0627927,R
U0628011,R
U0628248,R
U0628250,R
U0628273,R
U0628274,R
U0628352,R
U0628468,R
U0628536,R
U0628589,R
U0628642,R
U0628664,R
U0628691,R
U0628699,R
U0628705,R
U0628706,R
U0628752,R
U0628783,R
U0628826,R
U0628849,R
U0628862,R
U0628872,R
U0628921,R
U0628922,R
U0628947,R
U0629012,R
U0629040,R
U0629110,R
U0629113,R
U0629114,R
U0629130,R
U0629131,R
U0629144,R
U0629239,R
U0629282,R
U0629289,R
U0629338,R
U0629362,R
U0629392,R
U0629449,R
U0629457,R
U0629544,R
U0629550,R
U0629556,R
U0629588,R
U0629609,R
U0629660,R
U0629662,R
U0629663,R
U0629671,R
U0629733,R
U0629740,R
U0629778,R
U0629850,R
U0629919,R
U0629920,R
U0629939,R
U0629954,R
U0629966,R
U0630045,R
U0630082,R
U0630093,R
U0630118,R
U0630144,R
U0630223,R
U0630256,R
U0630270,R
U0630290,R
U0630299,R
U0630301,R
U0630323,R
U0630333,R
U0630390,R
U0630411,R
U0630438,R
U0630450,R
U0630483,R
U0630484,R
U0630530,R
U0630643,R
U0630706,R
U0630722,R
U0630737,R
U0630739,R
U0630821,R
U0630835,R
U0630853,R
U0630854,R
U0630874,R
U0630892,R
U0630933,R
U0630968,R
U0630976,R
U0631054,R
U0631061,R
U0631137,R
U0631191,R
U0631247,R
U0631268,R
U0631269,R
U0631274,R
U0631282,R
U0631283,R
U0631290,R
U0631300,R
U0631310,R
U0631311,R
U0631313,R
U0631314,R
U0631316,R
U0631323,R
U0631383,R
U0631432,R
U0631434,R
U0631465,R
U0631496,R
U0631541,R
U0631554,R
U0631562,R
U0631594,R
U0631614,R
U0631621,R
U0631627,R
U0631632,R
U0631634,R
U0631645,R
U0631676,R
U0631678,R
U0631767,R
U0631768,R
U0631894,R
U0631919,R
U0631926,R
U0631957,R
U0631975,R
U0631987,R
U0631991,R
U0631999,R
U0632038,R
U0632057,R
U0632059,R
U0632098,R
U0632102,R
U0632125,R
U0632186,R
U0632193,R
U0632212,R
U0632217,R
U0632218,R
U0632250,R
U0632286,R
U0632309,R
U0632349,R
U0632354,R
U0632363,R
U0632386,R
U0632389,R
U0632422,R
U0632447,R
U0632487,R
U0632514,R
U0632516,R
U0632524,R
U0632525,R
U0632530,R
U0632537,R
U0632578,R
U0632681,R
U0632821,R
U0632839,R
U0632938,R
U0632954,R
U0632999,R
U0633018,R
U0633019,R
U0633047,R
U0633086,R
U0633087,R
U0633099,R
U0633132,R
U0633171,R
U0633187,R
U0633194,R
U0633222,R
U0633231,R
U0633232,R
U0633260,R
U0633317,R
U0633318,R
U0633319,R
U0633321,R
U0633326,R
U0633332,R
U0633340,R
U0633342,R
U0633343,R
U0633356,R
U0633384,R
U0633393,R
U0633412,R
U0633443,R
U0633444,R
U0633503,R
U0633574,R
U0633642,R
U0633647,R
U0633654,R
U0633714,R
U0633737,R
U0633747,R
U0633771,R
U0633772,R
U0633782,R
U0633836,R
U0633837,R
U0633850,R
U0633851,R
U0633863,R
U0633886,R
U0634016,R
U0634017,R
U0634018,R
U0634032,R
U0634062,R
U0634083,R
U0634131,R
U0634170,R
U0634179,R
U0634198,R
U0634208,R
U0634245,R
U0634300,R
U0634306,R
U0634360,R
U0634385,R
U0634411,R
U0634413,R
U0634468,R
U0634476,R
U0634477,R
U0634482,R
U0634491,R
U0634492,R
U0634533,R
U0634535,R
U0634540,R
U0634595,R
U0634598,R
U0634644,R
U0634651,R
U0634656,R
U0634658,R
U0634661,R
U0634686,R
U0634713,R
U0634743,R
U0634751,R
U0634752,R
U0634762,R
U0634771,R
U0634782,R
U0634783,R
U0634784,R
U0634789,R
U0634795,R
U0634803,R
U0634805,R
U0634823,R
U0634830,R
U0634832,R
U0634835,R
U0634836,R
U0634857,R
U0634859,R
U0634867,R
U0634918,R
U0634923,R
U0634924,R
U0634935,R
U0634955,R
U0634962,R
U0634988,R
U0634989,R
U0635017,R
U0635082,R
U0635086,R
U0635091,R
U0635095,R
U0635113,R
U0635167,R
U0635188,R
U0635191,R
U0635217,R
U0635260,R
U0635288,R
U0635319,R
U0635321,R
U0635330,R
U0635336,R
U0635356,R
U0635357,R
U0635358,R
U0635427,R
U0635438,R
U0635463,R
U0635484,R
U0635506,R
U0635517,R
U0635530,R
U0635531,R
U0635544,R
U0635545,R
U0635548,R
U0635553,R
U0635554,R
U0635560,R
U0635576,R
U0635597,R
U0635634,R
U0635650,R
U0635653,R
U0635657,R
U0635675,R
U0635682,R
U0635685,R
U0635686,R
U0635687,R
U0635708,R
U0635712,R
U0635738,R
U0635739,R
U0635747,R
U0635779,R
U0635780,R
U0635781,R
U0635785,R
U0635817,R
U0635824,R
U0635838,R
U0635848,R
U0635851,R
U0635859,R
U0635880,R
U0635917,R
U0635918,R
U0635921,R
U0635951,R
U0635988,R
U0635998,R
U0636016,R
U0636019,R
U0636028,R
U0636047,R
U0636078,R
U0636079,R
U0636112,R
U0636125,R
U0636126,R
U0636127,R
U0636140,R
U0636141,R
U0636142,R
U0636154,R
U0636165,R
U0636193,R
U0636246,R
U0636282,R
U0636302,R
U0636315,R
U0636316,R
U0636327,R
U0636355,R
U0636384,R
U0636397,R
U0636403,R
U0636427,R
U0636453,R
U0636463,R
U0636487,R
U0636495,R
U0636498,R
U0636517,R
U0636523,R
U0636558,R
U0636594,R
U0636603,R
U0636604,R
U0636606,R
U0636629,R
U0636652,R
U0636658,R
U0636659,R
U0636662,R
U0636682,R
U0636712,R
U0636737,R
U0636738,R
U0636750,R
U0636751,R
U0636755,R
U0636772,R
U0636780,R
U0636781,R
U0636800,R
U0636810,R
U0636824,R
U0636827,R
U0636838,R
U0636875,R
U0636892,R
U0636893,R
U0636894,R
U0636923,R
U0636965,R
U0636987,R
U0637019,R
U0637034,R
U0637051,R
U0637052,R
U0637056,R
U0637065,R
U0637071,R
U0637074,R
U0637080,R
U0637100,R
U0637119,R
U0637127,R
