HedgeDt,Product_Detail,Indicator,Budget,Part,Cap,Floor,Spec_Rate,Spread,Asset_Charge,Multiplier
2023-07-01,IUL08,INDEX,0.0548,1.0,0.1,0.0,0.0,0.0,0.0,0.0
2023-07-01,IUL14,INDEX,0.0548,1.0,0.1,0.0,0.0,0.0,0.0,0.0
2023-07-01,IUL14,INX150,0.0385,1.0,0.085,0.015,0.0,0.0,0.0,0.0
2023-07-01,IUL14,INXFEE,0.0305,1.0,9.9999,0.0,0.0,0.1,0.0,0.0
2023-07-01,IUL14,INXSPC,0.0535,1.0,9.9999,0.0,0.075,0.0,0.0,0.0
2023-07-01,IUL14B,INDEX,0.0435,1.0,0.075,0.0,0.0,0.0,0.0,0.0
2023-07-01,IUL14B,INX150,0.0263,1.0,0.06,0.015,0.0,0.0,0.0,0.0
2023-07-01,IUL14B,INXFEE,0.0267,1.0,9.9999,0.0,0.0,0.11,0.0,0.0
2023-07-01,IUL14B,INXSPC,0.0428,1.0,9.9999,0.0,0.06,0.0,0.0,0.0
2023-07-01,IUL19,INDEX,0.0548,1.0,0.1,0.0,0.0,0.0,0.0,0.0
2023-07-01,IUL19,INXFEE,0.0305,1.0,9.9999,0.0,0.0,0.1,0.0,0.0
2023-07-01,IUL19,INXHIM,0.062,1.0,0.12,0.0,0.0,0.0,0.0415,0.6
2023-07-01,IUL19,INXLOM,0.062,1.0,0.12,0.0,0.0,0.0,0.0215,0.24
2023-07-01,IUL21,MARPRT,0.0243,2.4,9.9999,0.0,0.0,0.0,0.0,0.0
2023-07-01,IUL21,NASIDX,0.0554,1.0,0.105,0.0,0.0,0.0,0.0,0.0
2023-07-01,IUL21,INDEX,0.0567,1.0,0.105,0.0,0.0,0.0,0.0,0.0
2023-07-01,IUL21,INXFEE,0.0305,1.0,9.9999,0.0,0.0,0.1,0.0,0.0
2023-07-01,IUL21,INXHIM,0.062,1.0,0.12,0.0,0.0,0.0,0.0415,0.6
2023-07-01,IUL21,INXLOM,0.062,1.0,0.12,0.0,0.0,0.0,0.0215,0.24
2023-07-01,IUL23,MARPRT,0.0243,2.4,9.9999,0.0,0.0,0.0,0.0,0.0
2023-07-01,IUL23,NASIDX,0.0544,1.0,0.1025,0.0,0.0,0.0,0.0,0.0
2023-07-01,IUL23,INDEX,0.0558,1.0,0.1025,0.0,0.0,0.0,0.0,0.0
2023-07-01,IUL23,INXFEE,0.0305,1.0,9.9999,0.0,0.0,0.1,0.0,0.0
2023-07-01,IUL23,INXHIM,0.062,1.0,0.12,0.0,0.0,0.0,0.0415,0.6
2023-07-01,IUL23,INXLOM,0.062,1.0,0.12,0.0,0.0,0.0,0.0215,0.24
2023-07-01,GIUL21,INDEX,0.0527,1.0,0.095,0.0,0.0,0.0,0.0,0.0
2023-07-01,GIUL21,INXFEE,0.0267,1.0,9.9999,0.0,0.0,0.11,0.0,0.0
2023-07-01,GIUL21,MARPRT,0.0222,2.2,9.9999,0.0,0.0,0.0,0.0,0.0
2023-07-01,GIUL21,NASIDX,0.0511,1.0,0.095,0.0,0.0,0.0,0.0,0.0
2023-07-01,IUL14NY,INDEX,0.0483,1.0,0.085,0.0,0.0,0.0,0.0,0.0
2023-07-01,IUL14NY,INX150,0.0288,1.0,0.065,0.015,0.0,0.0,0.0,0.0
2023-07-01,IUL14NY,INXFEE,0.0405,1.0,9.9999,0.0,0.0,0.0775,0.0,0.0
2023-07-01,IUL14NY,INXSPC,0.0496,1.0,9.9999,0.0,0.0695,0.0,0.0,0.0
2023-07-01,IUL14BNY,INDEX,0.0435,1.0,0.075,0.0,0.0,0.0,0.0,0.0
2023-07-01,IUL14BNY,INX150,0.0209,1.0,0.05,0.015,0.0,0.0,0.0,0.0
2023-07-01,IUL14BNY,INXFEE,0.0354,1.0,9.9999,0.0,0.0,0.0885,0.0,0.0
2023-07-01,IUL14BNY,INXSPC,0.0425,1.0,9.9999,0.0,0.0595,0.0,0.0,0.0
2023-08-01,IUL08,INDEX,0.0556,1.0,0.1,0.0,0.0,0.0,0.0,0.0
2023-08-01,IUL14,INDEX,0.0556,1.0,0.1,0.0,0.0,0.0,0.0,0.0
2023-08-01,IUL14,INX150,0.0391,1.0,0.085,0.015,0.0,0.0,0.0,0.0
2023-08-01,IUL14,INXFEE,0.0361,1.0,9.9999,0.0,0.0,0.08,0.0,0.0
